state,date,value
ACT,2019/02/01,71752
ACT,2019/02/02,11440
ACT,2019/02/03,45917
ACT,2019/02/04,85516
ACT,2019/02/05,89170
ACT,2019/02/06,33974
ACT,2019/02/07,75015
ACT,2019/02/08,19547
ACT,2019/02/09,16499
ACT,2019/02/10,39204
ACT,2019/02/11,9637
ACT,2019/02/12,98848
ACT,2019/02/13,38527
ACT,2019/02/14,31217
ACT,2019/02/15,76223
ACT,2019/02/16,31653
ACT,2019/02/17,30668
ACT,2019/02/18,98733
ACT,2019/02/19,84823
ACT,2019/02/20,14701
ACT,2019/02/21,22686
ACT,2019/02/22,41232
ACT,2019/02/23,94788
ACT,2019/02/24,88460
ACT,2019/02/25,71015
ACT,2019/02/26,79134
ACT,2019/02/27,45874
ACT,2019/02/28,69735
