state,date,value
ACT,2019/01/01,83784
ACT,2019/01/02,27081
ACT,2019/01/03,93280
ACT,2019/01/04,77207
ACT,2019/01/05,79690
ACT,2019/01/06,77961
ACT,2019/01/07,19522
ACT,2019/01/08,28625
ACT,2019/01/09,37478
ACT,2019/01/10,46341
ACT,2019/01/11,85096
ACT,2019/01/12,56562
ACT,2019/01/13,4225
ACT,2019/01/14,1661
ACT,2019/01/15,91058
ACT,2019/01/16,45564
ACT,2019/01/17,42927
ACT,2019/01/18,42708
ACT,2019/01/19,40805
ACT,2019/01/20,43653
ACT,2019/01/21,26909
ACT,2019/01/22,63637
ACT,2019/01/23,23745
ACT,2019/01/24,49903
ACT,2019/01/25,76501
ACT,2019/01/26,81267
ACT,2019/01/27,74339
ACT,2019/01/28,78675
ACT,2019/01/29,94191
ACT,2019/01/30,21958
ACT,2019/01/31,41752
ACT,2019/02/01,42465
ACT,2019/02/02,50759
ACT,2019/02/03,3344
ACT,2019/02/04,9634
ACT,2019/02/05,17765
ACT,2019/02/06,9722
ACT,2019/02/07,87792
ACT,2019/02/08,51126
ACT,2019/02/09,40659
ACT,2019/02/10,66122
ACT,2019/02/11,87297
ACT,2019/02/12,50028
ACT,2019/02/13,96215
ACT,2019/02/14,81326
ACT,2019/02/15,99764
ACT,2019/02/16,62064
ACT,2019/02/17,25943
ACT,2019/02/18,69053
ACT,2019/02/19,1922
ACT,2019/02/20,38420
ACT,2019/02/21,28647
ACT,2019/02/22,37110
ACT,2019/02/23,74884
ACT,2019/02/24,88319
ACT,2019/02/25,93240
ACT,2019/02/26,55103
ACT,2019/02/27,12237
ACT,2019/02/28,18744
ACT,2019/03/01,71800
ACT,2019/03/02,40817
ACT,2019/03/03,3377
ACT,2019/03/04,71670
ACT,2019/03/05,25855
ACT,2019/03/06,71825
ACT,2019/03/07,74136
ACT,2019/03/08,31122
ACT,2019/03/09,72854
ACT,2019/03/10,88562
ACT,2019/03/11,9998
ACT,2019/03/12,14622
ACT,2019/03/13,74045
ACT,2019/03/14,41963
ACT,2019/03/15,89047
ACT,2019/03/16,6967
ACT,2019/03/17,11577
ACT,2019/03/18,34391
ACT,2019/03/19,80938
ACT,2019/03/20,48950
ACT,2019/03/21,60711
ACT,2019/03/22,43890
ACT,2019/03/23,96117
ACT,2019/03/24,53961
ACT,2019/03/25,43166
ACT,2019/03/26,17130
ACT,2019/03/27,24639
ACT,2019/03/28,90406
ACT,2019/03/29,35277
ACT,2019/03/30,5619
ACT,2019/03/31,45363
ACT,2019/04/01,56261
ACT,2019/04/02,15615
ACT,2019/04/03,61530
ACT,2019/04/04,88975
ACT,2019/04/05,85053
ACT,2019/04/06,50434
ACT,2019/04/07,43954
ACT,2019/04/08,88969
ACT,2019/04/09,7459
ACT,2019/04/10,46537
ACT,2019/04/11,80767
ACT,2019/04/12,58691
ACT,2019/04/13,9760
ACT,2019/04/14,7514
ACT,2019/04/15,71332
ACT,2019/04/16,6616
ACT,2019/04/17,86150
ACT,2019/04/18,7778
ACT,2019/04/19,84093
ACT,2019/04/20,7035
ACT,2019/04/21,94778
ACT,2019/04/22,39246
ACT,2019/04/23,41460
ACT,2019/04/24,78178
ACT,2019/04/25,66768
ACT,2019/04/26,13071
ACT,2019/04/27,2920
ACT,2019/04/28,33037
ACT,2019/04/29,62747
ACT,2019/04/30,64158
ACT,2019/05/01,99153
ACT,2019/05/02,69236
ACT,2019/05/03,46326
ACT,2019/05/04,31526
ACT,2019/05/05,2876
ACT,2019/05/06,9888
ACT,2019/05/07,67412
ACT,2019/05/08,68808
ACT,2019/05/09,51896
ACT,2019/05/10,14756
ACT,2019/05/11,36333
ACT,2019/05/12,10495
ACT,2019/05/13,30654
ACT,2019/05/14,20793
ACT,2019/05/15,22992
ACT,2019/05/16,73123
ACT,2019/05/17,18092
ACT,2019/05/18,81692
ACT,2019/05/19,46067
ACT,2019/05/20,45345
ACT,2019/05/21,40042
ACT,2019/05/22,67249
ACT,2019/05/23,59563
ACT,2019/05/24,84060
ACT,2019/05/25,98913
ACT,2019/05/26,6608
ACT,2019/05/27,95086
ACT,2019/05/28,80818
ACT,2019/05/29,70940
ACT,2019/05/30,53059
ACT,2019/05/31,25059
ACT,2019/06/01,38053
ACT,2019/06/02,29563
ACT,2019/06/03,19179
ACT,2019/06/04,12768
ACT,2019/06/05,62447
ACT,2019/06/06,65282
ACT,2019/06/07,28781
ACT,2019/06/08,8447
ACT,2019/06/09,80390
ACT,2019/06/10,44410
ACT,2019/06/11,26402
ACT,2019/06/12,6378
ACT,2019/06/13,81910
ACT,2019/06/14,82891
ACT,2019/06/15,11083
ACT,2019/06/16,90447
ACT,2019/06/17,15187
ACT,2019/06/18,3931
ACT,2019/06/19,3838
ACT,2019/06/20,51054
ACT,2019/06/21,9862
ACT,2019/06/22,59153
ACT,2019/06/23,62196
ACT,2019/06/24,61477
ACT,2019/06/25,29954
ACT,2019/06/26,30051
ACT,2019/06/27,75288
ACT,2019/06/28,72274
ACT,2019/06/29,9764
ACT,2019/06/30,13264
ACT,2019/07/01,37627
ACT,2019/07/02,74758
ACT,2019/07/03,51469
ACT,2019/07/04,5467
ACT,2019/07/05,64841
ACT,2019/07/06,70960
ACT,2019/07/07,16624
ACT,2019/07/08,29391
ACT,2019/07/09,36390
ACT,2019/07/10,18446
