state,date,value
NSW,2019/02/01,94851
NSW,2019/02/02,3794
NSW,2019/02/03,31946
NSW,2019/02/04,57902
NSW,2019/02/05,59806
NSW,2019/02/06,51958
NSW,2019/02/07,12338
NSW,2019/02/08,14302
NSW,2019/02/09,52040
NSW,2019/02/10,55505
NSW,2019/02/11,87933
NSW,2019/02/12,79695
NSW,2019/02/13,37935
NSW,2019/02/14,30305
NSW,2019/02/15,84804
NSW,2019/02/16,11838
NSW,2019/02/17,76218
NSW,2019/02/18,19824
NSW,2019/02/19,51028
NSW,2019/02/20,7910
NSW,2019/02/21,82121
NSW,2019/02/22,21709
NSW,2019/02/23,92404
NSW,2019/02/24,24110
NSW,2019/02/25,8527
NSW,2019/02/26,29366
NSW,2019/02/27,57072
NSW,2019/02/28,26741
