state,date,value
NSW,2019/01/01,99937
NSW,2019/01/02,35531
NSW,2019/01/03,63848
NSW,2019/01/04,33535
NSW,2019/01/05,56236
NSW,2019/01/06,28608
NSW,2019/01/07,82483
NSW,2019/01/08,56838
NSW,2019/01/09,21990
NSW,2019/01/10,72839
NSW,2019/01/11,13183
NSW,2019/01/12,23521
NSW,2019/01/13,92926
NSW,2019/01/14,96492
NSW,2019/01/15,20680
NSW,2019/01/16,20223
NSW,2019/01/17,33265
NSW,2019/01/18,71013
NSW,2019/01/19,71594
NSW,2019/01/20,12454
NSW,2019/01/21,94930
NSW,2019/01/22,41823
NSW,2019/01/23,39900
NSW,2019/01/24,75372
NSW,2019/01/25,52568
NSW,2019/01/26,83118
NSW,2019/01/27,65499
NSW,2019/01/28,87400
NSW,2019/01/29,44390
NSW,2019/01/30,50358
NSW,2019/01/31,36580
NSW,2019/02/01,9915
NSW,2019/02/02,18094
NSW,2019/02/03,33166
NSW,2019/02/04,71957
NSW,2019/02/05,99360
NSW,2019/02/06,42521
NSW,2019/02/07,39962
NSW,2019/02/08,75997
NSW,2019/02/09,45738
NSW,2019/02/10,8104
NSW,2019/02/11,33592
NSW,2019/02/12,96209
NSW,2019/02/13,73894
NSW,2019/02/14,8441
NSW,2019/02/15,31837
NSW,2019/02/16,69602
NSW,2019/02/17,94012
NSW,2019/02/18,44212
NSW,2019/02/19,59322
NSW,2019/02/20,13335
NSW,2019/02/21,38532
NSW,2019/02/22,49572
NSW,2019/02/23,11338
NSW,2019/02/24,48891
NSW,2019/02/25,72113
NSW,2019/02/26,76315
NSW,2019/02/27,52858
NSW,2019/02/28,89189
NSW,2019/03/01,19751
NSW,2019/03/02,45055
NSW,2019/03/03,68777
NSW,2019/03/04,49008
NSW,2019/03/05,31327
NSW,2019/03/06,44518
NSW,2019/03/07,69444
NSW,2019/03/08,44812
NSW,2019/03/09,97744
NSW,2019/03/10,73299
NSW,2019/03/11,3812
NSW,2019/03/12,39091
NSW,2019/03/13,5176
NSW,2019/03/14,28259
NSW,2019/03/15,95084
NSW,2019/03/16,82834
NSW,2019/03/17,16546
NSW,2019/03/18,5136
NSW,2019/03/19,8138
NSW,2019/03/20,5198
NSW,2019/03/21,65640
NSW,2019/03/22,88634
NSW,2019/03/23,3080
NSW,2019/03/24,98511
NSW,2019/03/25,82371
NSW,2019/03/26,42658
NSW,2019/03/27,41589
NSW,2019/03/28,39021
NSW,2019/03/29,76582
NSW,2019/03/30,24107
NSW,2019/03/31,94208
NSW,2019/04/01,91875
NSW,2019/04/02,11215
NSW,2019/04/03,78975
NSW,2019/04/04,81635
NSW,2019/04/05,91784
NSW,2019/04/06,38113
NSW,2019/04/07,4330
NSW,2019/04/08,14349
NSW,2019/04/09,24809
NSW,2019/04/10,70946
NSW,2019/04/11,64184
NSW,2019/04/12,48018
NSW,2019/04/13,37349
NSW,2019/04/14,23009
NSW,2019/04/15,77307
NSW,2019/04/16,58419
NSW,2019/04/17,75046
NSW,2019/04/18,69730
NSW,2019/04/19,17443
NSW,2019/04/20,42197
NSW,2019/04/21,30413
NSW,2019/04/22,93869
NSW,2019/04/23,7230
NSW,2019/04/24,24792
NSW,2019/04/25,20267
NSW,2019/04/26,79091
NSW,2019/04/27,72779
NSW,2019/04/28,40347
NSW,2019/04/29,42129
NSW,2019/04/30,19055
NSW,2019/05/01,42398
NSW,2019/05/02,51927
NSW,2019/05/03,29045
NSW,2019/05/04,76469
NSW,2019/05/05,39673
NSW,2019/05/06,65721
NSW,2019/05/07,12933
NSW,2019/05/08,24444
NSW,2019/05/09,93023
NSW,2019/05/10,3855
NSW,2019/05/11,13496
NSW,2019/05/12,58522
NSW,2019/05/13,74997
NSW,2019/05/14,34249
NSW,2019/05/15,39963
NSW,2019/05/16,37792
NSW,2019/05/17,42853
NSW,2019/05/18,77911
NSW,2019/05/19,13564
NSW,2019/05/20,12581
NSW,2019/05/21,25183
NSW,2019/05/22,47190
NSW,2019/05/23,97933
NSW,2019/05/24,63522
NSW,2019/05/25,17753
NSW,2019/05/26,26313
NSW,2019/05/27,57358
NSW,2019/05/28,92666
NSW,2019/05/29,7313
NSW,2019/05/30,5089
NSW,2019/05/31,78059
NSW,2019/06/01,32630
NSW,2019/06/02,78680
NSW,2019/06/03,74361
NSW,2019/06/04,8437
NSW,2019/06/05,30842
NSW,2019/06/06,96911
NSW,2019/06/07,49391
NSW,2019/06/08,10329
NSW,2019/06/09,76252
NSW,2019/06/10,42876
NSW,2019/06/11,24815
NSW,2019/06/12,58321
NSW,2019/06/13,75610
NSW,2019/06/14,35639
NSW,2019/06/15,61195
NSW,2019/06/16,49542
NSW,2019/06/17,15173
NSW,2019/06/18,74270
NSW,2019/06/19,82154
NSW,2019/06/20,45624
NSW,2019/06/21,92416
NSW,2019/06/22,53108
NSW,2019/06/23,34737
NSW,2019/06/24,84945
NSW,2019/06/25,93065
NSW,2019/06/26,29071
NSW,2019/06/27,30421
NSW,2019/06/28,92173
NSW,2019/06/29,46392
NSW,2019/06/30,95455
NSW,2019/07/01,46151
NSW,2019/07/02,81849
NSW,2019/07/03,57916
NSW,2019/07/04,31203
NSW,2019/07/05,42514
NSW,2019/07/06,93503
NSW,2019/07/07,59169
NSW,2019/07/08,77307
NSW,2019/07/09,14596
NSW,2019/07/10,28794
NSW,2019/07/11,63329
