state,date,value
NT,2019/09/01,57652
NT,2019/09/02,44621
NT,2019/09/03,33304
NT,2019/09/04,10642
NT,2019/09/05,52663
NT,2019/09/06,24487
NT,2019/09/07,14316
NT,2019/09/08,34818
NT,2019/09/09,68946
NT,2019/09/10,88801
NT,2019/09/11,30165
NT,2019/09/12,34986
NT,2019/09/13,86386
NT,2019/09/14,34865
NT,2019/09/15,72932
NT,2019/09/16,54226
NT,2019/09/17,7100
NT,2019/09/18,10806
NT,2019/09/19,4372
NT,2019/09/20,68737
NT,2019/09/21,70142
NT,2019/09/22,26546
NT,2019/09/23,56100
NT,2019/09/24,77614
NT,2019/09/25,22352
NT,2019/09/26,72224
NT,2019/09/27,20844
NT,2019/09/28,5057
NT,2019/09/29,45904
NT,2019/09/30,26636
