state,date,value
NT,2019/01/01,19080
NT,2019/01/02,87494
NT,2019/01/03,44799
NT,2019/01/04,15196
NT,2019/01/05,15015
NT,2019/01/06,73915
NT,2019/01/07,68451
NT,2019/01/08,51898
NT,2019/01/09,64747
NT,2019/01/10,81131
NT,2019/01/11,20549
NT,2019/01/12,21933
NT,2019/01/13,65750
NT,2019/01/14,56781
NT,2019/01/15,55158
NT,2019/01/16,38931
NT,2019/01/17,60477
NT,2019/01/18,74565
NT,2019/01/19,14281
NT,2019/01/20,47251
NT,2019/01/21,87568
NT,2019/01/22,20607
NT,2019/01/23,18806
NT,2019/01/24,43911
NT,2019/01/25,10261
NT,2019/01/26,79107
NT,2019/01/27,27708
NT,2019/01/28,65585
NT,2019/01/29,77890
NT,2019/01/30,71122
NT,2019/01/31,28815
NT,2019/02/01,44218
NT,2019/02/02,66282
NT,2019/02/03,66602
NT,2019/02/04,52150
NT,2019/02/05,60687
NT,2019/02/06,23292
NT,2019/02/07,9453
NT,2019/02/08,65331
NT,2019/02/09,80069
NT,2019/02/10,26406
NT,2019/02/11,13799
NT,2019/02/12,52215
NT,2019/02/13,50667
NT,2019/02/14,59972
NT,2019/02/15,65040
NT,2019/02/16,45919
NT,2019/02/17,22501
NT,2019/02/18,43125
NT,2019/02/19,91635
NT,2019/02/20,51945
NT,2019/02/21,34688
NT,2019/02/22,1793
NT,2019/02/23,85918
NT,2019/02/24,5233
NT,2019/02/25,56937
NT,2019/02/26,43587
NT,2019/02/27,42315
NT,2019/02/28,16109
NT,2019/03/01,53041
NT,2019/03/02,39349
NT,2019/03/03,65146
NT,2019/03/04,54425
NT,2019/03/05,14651
NT,2019/03/06,5240
NT,2019/03/07,70356
NT,2019/03/08,97229
NT,2019/03/09,43318
NT,2019/03/10,50461
NT,2019/03/11,30164
NT,2019/03/12,23917
NT,2019/03/13,17906
NT,2019/03/14,17241
NT,2019/03/15,13896
NT,2019/03/16,82677
NT,2019/03/17,27341
NT,2019/03/18,82822
NT,2019/03/19,85832
NT,2019/03/20,28417
NT,2019/03/21,45153
NT,2019/03/22,13683
NT,2019/03/23,29019
NT,2019/03/24,53358
NT,2019/03/25,92537
NT,2019/03/26,41326
NT,2019/03/27,4496
NT,2019/03/28,29036
NT,2019/03/29,41979
NT,2019/03/30,19537
NT,2019/03/31,23058
NT,2019/04/01,35951
NT,2019/04/02,76752
NT,2019/04/03,48535
NT,2019/04/04,31788
NT,2019/04/05,10933
NT,2019/04/06,86034
NT,2019/04/07,73263
NT,2019/04/08,75407
NT,2019/04/09,10312
NT,2019/04/10,82512
NT,2019/04/11,26069
NT,2019/04/12,2321
NT,2019/04/13,15819
NT,2019/04/14,20191
NT,2019/04/15,12322
NT,2019/04/16,39063
NT,2019/04/17,93366
NT,2019/04/18,38404
NT,2019/04/19,31208
NT,2019/04/20,31939
NT,2019/04/21,34727
NT,2019/04/22,23081
NT,2019/04/23,38275
NT,2019/04/24,90481
NT,2019/04/25,14654
NT,2019/04/26,90749
NT,2019/04/27,87157
NT,2019/04/28,29512
NT,2019/04/29,81047
NT,2019/04/30,15089
NT,2019/05/01,14699
NT,2019/05/02,3609
NT,2019/05/03,58029
NT,2019/05/04,56041
NT,2019/05/05,25928
NT,2019/05/06,76291
NT,2019/05/07,95284
NT,2019/05/08,76372
NT,2019/05/09,7211
NT,2019/05/10,49978
NT,2019/05/11,51500
NT,2019/05/12,40372
NT,2019/05/13,33256
NT,2019/05/14,93412
NT,2019/05/15,4633
NT,2019/05/16,17557
NT,2019/05/17,62668
NT,2019/05/18,70166
NT,2019/05/19,71749
NT,2019/05/20,75517
NT,2019/05/21,63644
NT,2019/05/22,48782
NT,2019/05/23,51240
NT,2019/05/24,74424
NT,2019/05/25,14149
NT,2019/05/26,52827
NT,2019/05/27,72720
NT,2019/05/28,39436
NT,2019/05/29,34533
NT,2019/05/30,39715
NT,2019/05/31,66989
NT,2019/06/01,93144
NT,2019/06/02,79522
NT,2019/06/03,92690
NT,2019/06/04,46093
NT,2019/06/05,79940
NT,2019/06/06,5137
NT,2019/06/07,48826
NT,2019/06/08,86752
NT,2019/06/09,13406
NT,2019/06/10,75470
NT,2019/06/11,24906
NT,2019/06/12,12733
NT,2019/06/13,32721
NT,2019/06/14,71091
NT,2019/06/15,66470
NT,2019/06/16,45903
NT,2019/06/17,89468
NT,2019/06/18,38099
NT,2019/06/19,14749
NT,2019/06/20,40964
NT,2019/06/21,75220
NT,2019/06/22,58402
NT,2019/06/23,47589
NT,2019/06/24,14306
NT,2019/06/25,16427
NT,2019/06/26,26880
NT,2019/06/27,47943
NT,2019/06/28,92800
NT,2019/06/29,6347
NT,2019/06/30,11901
NT,2019/07/01,9473
NT,2019/07/02,82834
NT,2019/07/03,47427
NT,2019/07/04,49359
NT,2019/07/05,67023
NT,2019/07/06,41569
NT,2019/07/07,37537
NT,2019/07/08,63238
NT,2019/07/09,8512
NT,2019/07/10,94769
NT,2019/07/11,56380
NT,2019/07/12,92961
NT,2019/07/13,22865
NT,2019/07/14,22654
NT,2019/07/15,96568
NT,2019/07/16,30143
NT,2019/07/17,1099
NT,2019/07/18,76069
NT,2019/07/19,62848
NT,2019/07/20,74318
NT,2019/07/21,46528
NT,2019/07/22,77934
NT,2019/07/23,17916
NT,2019/07/24,59391
NT,2019/07/25,22563
NT,2019/07/26,8287
NT,2019/07/27,35926
NT,2019/07/28,39114
NT,2019/07/29,20567
NT,2019/07/30,7557
NT,2019/07/31,43465
NT,2019/08/01,59692
NT,2019/08/02,22485
NT,2019/08/03,51879
NT,2019/08/04,85967
NT,2019/08/05,15750
NT,2019/08/06,51810
NT,2019/08/07,41373
NT,2019/08/08,93896
NT,2019/08/09,41195
NT,2019/08/10,26993
NT,2019/08/11,58780
NT,2019/08/12,96452
NT,2019/08/13,97286
NT,2019/08/14,5885
NT,2019/08/15,31492
NT,2019/08/16,75777
NT,2019/08/17,80871
NT,2019/08/18,39247
NT,2019/08/19,59794
NT,2019/08/20,1058
NT,2019/08/21,43204
NT,2019/08/22,3495
NT,2019/08/23,33422
NT,2019/08/24,98910
NT,2019/08/25,71655
NT,2019/08/26,88003
NT,2019/08/27,48459
NT,2019/08/28,63433
NT,2019/08/29,1960
NT,2019/08/30,66466
NT,2019/08/31,34173
NT,2019/09/01,50580
NT,2019/09/02,44761
NT,2019/09/03,69868
NT,2019/09/04,71316
NT,2019/09/05,89753
NT,2019/09/06,9048
NT,2019/09/07,72813
NT,2019/09/08,91649
NT,2019/09/09,60741
NT,2019/09/10,83484
NT,2019/09/11,4590
NT,2019/09/12,89529
NT,2019/09/13,98147
NT,2019/09/14,59848
NT,2019/09/15,55744
NT,2019/09/16,2792
NT,2019/09/17,57050
NT,2019/09/18,7182
NT,2019/09/19,34097
NT,2019/09/20,8788
NT,2019/09/21,45249
NT,2019/09/22,12571
NT,2019/09/23,83768
NT,2019/09/24,11863
NT,2019/09/25,10237
NT,2019/09/26,23365
NT,2019/09/27,50813
NT,2019/09/28,30276
NT,2019/09/29,32703
NT,2019/09/30,49935
NT,2019/10/01,86017
NT,2019/10/02,12511
NT,2019/10/03,5082
NT,2019/10/04,9262
NT,2019/10/05,40121
NT,2019/10/06,85809
NT,2019/10/07,87730
NT,2019/10/08,12453
NT,2019/10/09,20360
NT,2019/10/10,33822
NT,2019/10/11,37014
NT,2019/10/12,97586
NT,2019/10/13,9634
NT,2019/10/14,96077
NT,2019/10/15,68771
NT,2019/10/16,5387
NT,2019/10/17,7488
NT,2019/10/18,7331
NT,2019/10/19,96025
NT,2019/10/20,92735
NT,2019/10/21,7775
NT,2019/10/22,46786
NT,2019/10/23,39247
NT,2019/10/24,6638
NT,2019/10/25,89507
NT,2019/10/26,70324
NT,2019/10/27,92081
NT,2019/10/28,53377
NT,2019/10/29,5414
NT,2019/10/30,80323
NT,2019/10/31,17444
NT,2019/11/01,34224
NT,2019/11/02,71780
NT,2019/11/03,53105
NT,2019/11/04,68977
NT,2019/11/05,40999
NT,2019/11/06,59133
NT,2019/11/07,88681
NT,2019/11/08,81304
NT,2019/11/09,55784
NT,2019/11/10,80116
NT,2019/11/11,6456
NT,2019/11/12,4590
NT,2019/11/13,63329
NT,2019/11/14,25553
NT,2019/11/15,36751
NT,2019/11/16,45735
NT,2019/11/17,61980
NT,2019/11/18,71997
NT,2019/11/19,36428
NT,2019/11/20,45676
NT,2019/11/21,91819
NT,2019/11/22,37404
NT,2019/11/23,86058
NT,2019/11/24,16074
NT,2019/11/25,54817
NT,2019/11/26,66962
NT,2019/11/27,57102
NT,2019/11/28,89234
NT,2019/11/29,42131
NT,2019/11/30,15324
NT,2019/12/01,55077
NT,2019/12/02,34898
NT,2019/12/03,70224
NT,2019/12/04,1057
NT,2019/12/05,76677
NT,2019/12/06,31989
NT,2019/12/07,80249
NT,2019/12/08,8135
NT,2019/12/09,55347
NT,2019/12/10,70537
NT,2019/12/11,98841
NT,2019/12/12,73372
NT,2019/12/13,75477
NT,2019/12/14,1381
NT,2019/12/15,84053
NT,2019/12/16,97657
NT,2019/12/17,92281
NT,2019/12/18,42930
NT,2019/12/19,37349
NT,2019/12/20,44050
NT,2019/12/21,78525
NT,2019/12/22,79766
NT,2019/12/23,51791
NT,2019/12/24,42822
NT,2019/12/25,41577
NT,2019/12/26,73121
NT,2019/12/27,11994
NT,2019/12/28,96045
NT,2019/12/29,85185
NT,2019/12/30,69690
NT,2019/12/31,89284
