state,date,value
QLD,2019/03/01,45028
QLD,2019/03/02,86906
QLD,2019/03/03,46473
QLD,2019/03/04,37715
QLD,2019/03/05,6404
QLD,2019/03/06,54077
QLD,2019/03/07,55686
QLD,2019/03/08,65265
QLD,2019/03/09,14712
QLD,2019/03/10,88305
QLD,2019/03/11,44369
QLD,2019/03/12,25876
QLD,2019/03/13,72544
QLD,2019/03/14,27464
QLD,2019/03/15,77886
QLD,2019/03/16,79889
QLD,2019/03/17,98918
QLD,2019/03/18,42042
QLD,2019/03/19,62293
QLD,2019/03/20,96375
QLD,2019/03/21,82975
QLD,2019/03/22,42341
QLD,2019/03/23,19986
QLD,2019/03/24,39589
QLD,2019/03/25,21858
QLD,2019/03/26,45616
QLD,2019/03/27,65924
QLD,2019/03/28,17656
QLD,2019/03/29,84448
QLD,2019/03/30,68051
QLD,2019/03/31,12717
