state,date,value
QLD,2019/01/01,40501
QLD,2019/01/02,83880
QLD,2019/01/03,77449
QLD,2019/01/04,75192
QLD,2019/01/05,48486
QLD,2019/01/06,29110
QLD,2019/01/07,58633
QLD,2019/01/08,49963
QLD,2019/01/09,56650
QLD,2019/01/10,80088
QLD,2019/01/11,59610
QLD,2019/01/12,56776
QLD,2019/01/13,24082
QLD,2019/01/14,67827
QLD,2019/01/15,26826
QLD,2019/01/16,64790
QLD,2019/01/17,75981
QLD,2019/01/18,10626
QLD,2019/01/19,59054
QLD,2019/01/20,1769
QLD,2019/01/21,46623
QLD,2019/01/22,88724
QLD,2019/01/23,21393
QLD,2019/01/24,77992
QLD,2019/01/25,60090
QLD,2019/01/26,20398
QLD,2019/01/27,57676
QLD,2019/01/28,88274
QLD,2019/01/29,19819
QLD,2019/01/30,75575
QLD,2019/01/31,81492
QLD,2019/02/01,54212
QLD,2019/02/02,15411
QLD,2019/02/03,23797
QLD,2019/02/04,34022
QLD,2019/02/05,96341
QLD,2019/02/06,77324
QLD,2019/02/07,64114
QLD,2019/02/08,14335
QLD,2019/02/09,62491
QLD,2019/02/10,31638
QLD,2019/02/11,72677
QLD,2019/02/12,90550
QLD,2019/02/13,59801
QLD,2019/02/14,86091
QLD,2019/02/15,84128
QLD,2019/02/16,26407
QLD,2019/02/17,75189
QLD,2019/02/18,57124
QLD,2019/02/19,19948
QLD,2019/02/20,67483
QLD,2019/02/21,22412
QLD,2019/02/22,33187
QLD,2019/02/23,53725
QLD,2019/02/24,71072
QLD,2019/02/25,20224
QLD,2019/02/26,45929
QLD,2019/02/27,79426
QLD,2019/02/28,33050
QLD,2019/03/01,50055
QLD,2019/03/02,78298
QLD,2019/03/03,45780
QLD,2019/03/04,93090
QLD,2019/03/05,37108
QLD,2019/03/06,15724
QLD,2019/03/07,83268
QLD,2019/03/08,34613
QLD,2019/03/09,5959
QLD,2019/03/10,25039
QLD,2019/03/11,8612
QLD,2019/03/12,51480
QLD,2019/03/13,94390
QLD,2019/03/14,73336
QLD,2019/03/15,38556
QLD,2019/03/16,11600
QLD,2019/03/17,78333
QLD,2019/03/18,56353
QLD,2019/03/19,48389
QLD,2019/03/20,2336
QLD,2019/03/21,56180
QLD,2019/03/22,49291
QLD,2019/03/23,89105
QLD,2019/03/24,16745
QLD,2019/03/25,59613
QLD,2019/03/26,58727
QLD,2019/03/27,22462
QLD,2019/03/28,25447
QLD,2019/03/29,45298
QLD,2019/03/30,49860
QLD,2019/03/31,59479
QLD,2019/04/01,90359
QLD,2019/04/02,40875
QLD,2019/04/03,69041
QLD,2019/04/04,75301
QLD,2019/04/05,77732
QLD,2019/04/06,37699
QLD,2019/04/07,61641
QLD,2019/04/08,88112
QLD,2019/04/09,8640
QLD,2019/04/10,25413
QLD,2019/04/11,55007
QLD,2019/04/12,29559
QLD,2019/04/13,13179
QLD,2019/04/14,23958
QLD,2019/04/15,88524
QLD,2019/04/16,47821
QLD,2019/04/17,96755
QLD,2019/04/18,78216
QLD,2019/04/19,5353
QLD,2019/04/20,50290
QLD,2019/04/21,20438
QLD,2019/04/22,97538
QLD,2019/04/23,91857
QLD,2019/04/24,62451
QLD,2019/04/25,47455
QLD,2019/04/26,99826
QLD,2019/04/27,64893
QLD,2019/04/28,12683
QLD,2019/04/29,80986
QLD,2019/04/30,19559
QLD,2019/05/01,54727
QLD,2019/05/02,26779
QLD,2019/05/03,95126
QLD,2019/05/04,35750
QLD,2019/05/05,18946
QLD,2019/05/06,77593
QLD,2019/05/07,10411
QLD,2019/05/08,50492
QLD,2019/05/09,88086
QLD,2019/05/10,42474
QLD,2019/05/11,54857
QLD,2019/05/12,73383
QLD,2019/05/13,49731
QLD,2019/05/14,17984
QLD,2019/05/15,3693
QLD,2019/05/16,45428
QLD,2019/05/17,24969
QLD,2019/05/18,52256
QLD,2019/05/19,44402
QLD,2019/05/20,26430
QLD,2019/05/21,43565
QLD,2019/05/22,9635
QLD,2019/05/23,28026
QLD,2019/05/24,84987
QLD,2019/05/25,71256
QLD,2019/05/26,68127
QLD,2019/05/27,99906
QLD,2019/05/28,8163
QLD,2019/05/29,16789
QLD,2019/05/30,95910
