state,date,value
SA,2019/12/01,59849
SA,2019/12/02,82898
SA,2019/12/03,97933
SA,2019/12/04,54006
SA,2019/12/05,90596
SA,2019/12/06,91649
SA,2019/12/07,18793
SA,2019/12/08,65140
SA,2019/12/09,59948
SA,2019/12/10,1764
SA,2019/12/11,28453
SA,2019/12/12,62230
SA,2019/12/13,65827
SA,2019/12/14,80753
SA,2019/12/15,5816
SA,2019/12/16,82918
SA,2019/12/17,77086
SA,2019/12/18,36894
SA,2019/12/19,91587
SA,2019/12/20,14000
SA,2019/12/21,34400
SA,2019/12/22,85896
SA,2019/12/23,32995
SA,2019/12/24,61505
SA,2019/12/25,85609
SA,2019/12/26,69755
SA,2019/12/27,73495
SA,2019/12/28,67561
SA,2019/12/29,81565
SA,2019/12/30,8019
SA,2019/12/31,34086
