state,date,value
SA,2019/01/01,28631
SA,2019/01/02,2814
SA,2019/01/03,36295
SA,2019/01/04,5608
SA,2019/01/05,21426
SA,2019/01/06,62088
SA,2019/01/07,40961
SA,2019/01/08,56449
SA,2019/01/09,11095
SA,2019/01/10,66569
SA,2019/01/11,50126
SA,2019/01/12,87680
SA,2019/01/13,48198
SA,2019/01/14,68099
SA,2019/01/15,55017
SA,2019/01/16,65266
SA,2019/01/17,45934
SA,2019/01/18,85251
SA,2019/01/19,51646
SA,2019/01/20,7559
SA,2019/01/21,89102
SA,2019/01/22,87879
SA,2019/01/23,81846
SA,2019/01/24,86149
SA,2019/01/25,53557
SA,2019/01/26,38392
SA,2019/01/27,22149
SA,2019/01/28,82909
SA,2019/01/29,6895
SA,2019/01/30,31891
SA,2019/01/31,50205
SA,2019/02/01,28734
SA,2019/02/02,92977
SA,2019/02/03,7722
SA,2019/02/04,79866
SA,2019/02/05,79484
SA,2019/02/06,9329
SA,2019/02/07,84627
SA,2019/02/08,41705
SA,2019/02/09,40257
SA,2019/02/10,48269
SA,2019/02/11,94781
SA,2019/02/12,89841
SA,2019/02/13,68849
SA,2019/02/14,68276
SA,2019/02/15,94053
SA,2019/02/16,84068
SA,2019/02/17,16163
SA,2019/02/18,89251
SA,2019/02/19,4375
SA,2019/02/20,48571
SA,2019/02/21,5321
SA,2019/02/22,30194
SA,2019/02/23,88546
SA,2019/02/24,56362
SA,2019/02/25,44181
SA,2019/02/26,15894
SA,2019/02/27,47666
SA,2019/02/28,81360
SA,2019/03/01,2902
SA,2019/03/02,49980
SA,2019/03/03,56135
SA,2019/03/04,11380
SA,2019/03/05,78055
SA,2019/03/06,1500
SA,2019/03/07,89839
SA,2019/03/08,86372
SA,2019/03/09,72166
SA,2019/03/10,31498
SA,2019/03/11,35307
SA,2019/03/12,11644
SA,2019/03/13,20778
SA,2019/03/14,70425
SA,2019/03/15,90257
SA,2019/03/16,52002
SA,2019/03/17,20051
SA,2019/03/18,14564
SA,2019/03/19,92662
SA,2019/03/20,3675
SA,2019/03/21,8782
SA,2019/03/22,88366
SA,2019/03/23,69760
SA,2019/03/24,53221
SA,2019/03/25,84263
SA,2019/03/26,80289
SA,2019/03/27,78753
SA,2019/03/28,24833
SA,2019/03/29,16870
SA,2019/03/30,7019
SA,2019/03/31,72775
SA,2019/04/01,83426
SA,2019/04/02,24699
SA,2019/04/03,38435
SA,2019/04/04,83462
SA,2019/04/05,61082
SA,2019/04/06,95310
SA,2019/04/07,15249
SA,2019/04/08,86559
SA,2019/04/09,75207
SA,2019/04/10,45744
SA,2019/04/11,68287
SA,2019/04/12,30098
SA,2019/04/13,91623
SA,2019/04/14,43726
SA,2019/04/15,16281
SA,2019/04/16,7544
SA,2019/04/17,45800
SA,2019/04/18,7890
SA,2019/04/19,46243
SA,2019/04/20,49489
SA,2019/04/21,66635
SA,2019/04/22,49827
SA,2019/04/23,1464
SA,2019/04/24,2005
SA,2019/04/25,80309
SA,2019/04/26,10966
SA,2019/04/27,60339
SA,2019/04/28,18971
SA,2019/04/29,17736
SA,2019/04/30,82128
SA,2019/05/01,94690
SA,2019/05/02,19338
SA,2019/05/03,1854
SA,2019/05/04,7315
SA,2019/05/05,16418
SA,2019/05/06,33991
SA,2019/05/07,2048
SA,2019/05/08,48890
SA,2019/05/09,42843
SA,2019/05/10,20856
SA,2019/05/11,62807
SA,2019/05/12,79613
SA,2019/05/13,48645
SA,2019/05/14,50491
SA,2019/05/15,19615
SA,2019/05/16,81202
SA,2019/05/17,27808
SA,2019/05/18,25205
SA,2019/05/19,50746
SA,2019/05/20,29293
SA,2019/05/21,77818
SA,2019/05/22,46391
SA,2019/05/23,89650
SA,2019/05/24,43813
SA,2019/05/25,64097
SA,2019/05/26,90918
SA,2019/05/27,24609
SA,2019/05/28,22554
SA,2019/05/29,97586
SA,2019/05/30,11026
SA,2019/05/31,72738
SA,2019/06/01,50710
SA,2019/06/02,92383
SA,2019/06/03,5421
SA,2019/06/04,83525
SA,2019/06/05,17921
SA,2019/06/06,23526
SA,2019/06/07,96685
SA,2019/06/08,10325
SA,2019/06/09,35926
SA,2019/06/10,95946
SA,2019/06/11,54284
SA,2019/06/12,79977
SA,2019/06/13,58514
SA,2019/06/14,30107
SA,2019/06/15,54712
SA,2019/06/16,18840
SA,2019/06/17,79678
SA,2019/06/18,76813
SA,2019/06/19,13460
SA,2019/06/20,27364
SA,2019/06/21,33779
SA,2019/06/22,76103
SA,2019/06/23,40037
SA,2019/06/24,53833
SA,2019/06/25,3569
SA,2019/06/26,21327
SA,2019/06/27,85195
SA,2019/06/28,11697
SA,2019/06/29,51807
SA,2019/06/30,23057
SA,2019/07/01,87153
SA,2019/07/02,97783
SA,2019/07/03,53082
SA,2019/07/04,91432
SA,2019/07/05,92115
SA,2019/07/06,66582
SA,2019/07/07,91314
SA,2019/07/08,98532
SA,2019/07/09,2637
SA,2019/07/10,37313
SA,2019/07/11,63925
SA,2019/07/12,23400
SA,2019/07/13,88615
SA,2019/07/14,12055
SA,2019/07/15,83592
SA,2019/07/16,84076
SA,2019/07/17,98844
SA,2019/07/18,33018
SA,2019/07/19,25105
SA,2019/07/20,42512
SA,2019/07/21,84393
SA,2019/07/22,31017
SA,2019/07/23,41055
SA,2019/07/24,63258
SA,2019/07/25,49302
SA,2019/07/26,8609
SA,2019/07/27,2978
SA,2019/07/28,92249
SA,2019/07/29,29352
SA,2019/07/30,82845
SA,2019/07/31,43791
SA,2019/08/01,11462
SA,2019/08/02,14968
SA,2019/08/03,29786
SA,2019/08/04,16598
SA,2019/08/05,82940
SA,2019/08/06,30296
SA,2019/08/07,23449
SA,2019/08/08,27663
SA,2019/08/09,18685
SA,2019/08/10,69088
SA,2019/08/11,52901
SA,2019/08/12,50187
SA,2019/08/13,4795
SA,2019/08/14,3206
SA,2019/08/15,37185
SA,2019/08/16,67464
SA,2019/08/17,74124
SA,2019/08/18,91902
