state,date,value
TAS,2019/12/01,27067
TAS,2019/12/02,17970
TAS,2019/12/03,14765
TAS,2019/12/04,26073
TAS,2019/12/05,83323
TAS,2019/12/06,71782
TAS,2019/12/07,77040
TAS,2019/12/08,64815
TAS,2019/12/09,52408
TAS,2019/12/10,11263
TAS,2019/12/11,43212
TAS,2019/12/12,99364
TAS,2019/12/13,26583
TAS,2019/12/14,77288
TAS,2019/12/15,52270
TAS,2019/12/16,11136
TAS,2019/12/17,13954
TAS,2019/12/18,93780
TAS,2019/12/19,13706
TAS,2019/12/20,33267
TAS,2019/12/21,75886
TAS,2019/12/22,24207
TAS,2019/12/23,75410
TAS,2019/12/24,15259
TAS,2019/12/25,77139
TAS,2019/12/26,89945
TAS,2019/12/27,95543
TAS,2019/12/28,72283
TAS,2019/12/29,7885
TAS,2019/12/30,76004
TAS,2019/12/31,29185
