state,date,value
TAS,2019/01/01,66969
TAS,2019/01/02,92874
TAS,2019/01/03,13188
TAS,2019/01/04,99037
TAS,2019/01/05,79500
TAS,2019/01/06,19869
TAS,2019/01/07,31398
TAS,2019/01/08,15031
TAS,2019/01/09,1893
TAS,2019/01/10,68290
TAS,2019/01/11,73351
TAS,2019/01/12,50586
TAS,2019/01/13,57528
TAS,2019/01/14,66323
TAS,2019/01/15,49258
TAS,2019/01/16,67298
TAS,2019/01/17,85057
TAS,2019/01/18,72268
TAS,2019/01/19,56167
TAS,2019/01/20,85660
TAS,2019/01/21,36963
TAS,2019/01/22,85732
TAS,2019/01/23,76638
TAS,2019/01/24,28307
TAS,2019/01/25,97796
TAS,2019/01/26,79896
TAS,2019/01/27,70363
TAS,2019/01/28,81031
TAS,2019/01/29,45694
TAS,2019/01/30,39517
TAS,2019/01/31,25084
TAS,2019/02/01,32583
TAS,2019/02/02,37142
TAS,2019/02/03,28445
TAS,2019/02/04,32570
TAS,2019/02/05,22325
TAS,2019/02/06,89963
TAS,2019/02/07,94784
TAS,2019/02/08,34071
TAS,2019/02/09,29566
TAS,2019/02/10,34294
TAS,2019/02/11,39686
TAS,2019/02/12,96739
TAS,2019/02/13,44170
TAS,2019/02/14,83871
TAS,2019/02/15,56017
TAS,2019/02/16,35823
TAS,2019/02/17,29684
TAS,2019/02/18,53755
TAS,2019/02/19,50395
TAS,2019/02/20,81150
TAS,2019/02/21,9743
TAS,2019/02/22,87525
TAS,2019/02/23,72254
TAS,2019/02/24,40961
TAS,2019/02/25,15233
TAS,2019/02/26,10557
TAS,2019/02/27,34737
TAS,2019/02/28,28272
TAS,2019/03/01,85734
TAS,2019/03/02,93944
TAS,2019/03/03,85972
TAS,2019/03/04,48215
TAS,2019/03/05,24717
TAS,2019/03/06,44252
TAS,2019/03/07,7446
TAS,2019/03/08,49591
TAS,2019/03/09,5996
TAS,2019/03/10,96116
TAS,2019/03/11,40403
TAS,2019/03/12,62959
TAS,2019/03/13,76040
TAS,2019/03/14,30801
TAS,2019/03/15,90457
TAS,2019/03/16,96319
TAS,2019/03/17,74365
TAS,2019/03/18,6434
TAS,2019/03/19,85707
TAS,2019/03/20,55583
TAS,2019/03/21,11463
TAS,2019/03/22,21453
TAS,2019/03/23,94094
TAS,2019/03/24,78723
TAS,2019/03/25,69729
TAS,2019/03/26,76746
TAS,2019/03/27,81736
TAS,2019/03/28,80136
TAS,2019/03/29,92356
TAS,2019/03/30,64386
TAS,2019/03/31,10701
TAS,2019/04/01,21355
TAS,2019/04/02,16371
TAS,2019/04/03,77714
TAS,2019/04/04,59383
TAS,2019/04/05,67513
TAS,2019/04/06,31712
TAS,2019/04/07,51465
TAS,2019/04/08,20672
TAS,2019/04/09,95100
TAS,2019/04/10,17896
TAS,2019/04/11,87237
TAS,2019/04/12,61899
TAS,2019/04/13,99662
TAS,2019/04/14,41036
TAS,2019/04/15,50578
TAS,2019/04/16,69149
TAS,2019/04/17,81675
TAS,2019/04/18,59604
TAS,2019/04/19,50987
TAS,2019/04/20,66089
TAS,2019/04/21,36960
TAS,2019/04/22,48329
TAS,2019/04/23,30539
TAS,2019/04/24,86657
TAS,2019/04/25,68188
TAS,2019/04/26,23516
TAS,2019/04/27,40872
TAS,2019/04/28,38214
TAS,2019/04/29,22008
TAS,2019/04/30,42138
TAS,2019/05/01,11595
TAS,2019/05/02,92499
TAS,2019/05/03,71354
TAS,2019/05/04,64605
TAS,2019/05/05,20172
TAS,2019/05/06,60282
TAS,2019/05/07,79494
TAS,2019/05/08,40682
TAS,2019/05/09,73491
TAS,2019/05/10,43890
TAS,2019/05/11,31144
TAS,2019/05/12,96692
TAS,2019/05/13,65060
TAS,2019/05/14,95068
TAS,2019/05/15,57886
TAS,2019/05/16,84807
TAS,2019/05/17,44707
TAS,2019/05/18,17550
TAS,2019/05/19,60757
TAS,2019/05/20,69255
TAS,2019/05/21,79047
TAS,2019/05/22,15829
TAS,2019/05/23,60498
TAS,2019/05/24,37442
TAS,2019/05/25,44972
TAS,2019/05/26,66491
TAS,2019/05/27,63996
TAS,2019/05/28,16561
TAS,2019/05/29,98693
TAS,2019/05/30,21863
TAS,2019/05/31,78023
TAS,2019/06/01,47320
TAS,2019/06/02,27578
TAS,2019/06/03,41876
TAS,2019/06/04,71245
TAS,2019/06/05,77025
TAS,2019/06/06,3041
TAS,2019/06/07,51753
TAS,2019/06/08,15992
TAS,2019/06/09,84141
TAS,2019/06/10,75725
TAS,2019/06/11,77005
TAS,2019/06/12,19505
TAS,2019/06/13,16729
TAS,2019/06/14,32893
TAS,2019/06/15,43133
TAS,2019/06/16,19121
TAS,2019/06/17,44049
TAS,2019/06/18,73070
TAS,2019/06/19,84445
TAS,2019/06/20,85054
TAS,2019/06/21,10794
TAS,2019/06/22,14746
TAS,2019/06/23,18935
TAS,2019/06/24,15019
TAS,2019/06/25,14228
TAS,2019/06/26,6335
TAS,2019/06/27,7440
TAS,2019/06/28,69075
TAS,2019/06/29,55422
TAS,2019/06/30,39301
TAS,2019/07/01,37433
TAS,2019/07/02,69348
TAS,2019/07/03,29569
TAS,2019/07/04,7888
TAS,2019/07/05,84240
TAS,2019/07/06,24308
TAS,2019/07/07,4087
TAS,2019/07/08,17367
TAS,2019/07/09,77055
TAS,2019/07/10,37621
TAS,2019/07/11,90582
TAS,2019/07/12,39870
TAS,2019/07/13,34506
TAS,2019/07/14,42450
TAS,2019/07/15,72953
TAS,2019/07/16,17979
TAS,2019/07/17,89725
TAS,2019/07/18,11387
TAS,2019/07/19,19162
TAS,2019/07/20,32589
TAS,2019/07/21,63148
TAS,2019/07/22,22986
TAS,2019/07/23,92626
TAS,2019/07/24,97820
TAS,2019/07/25,12703
TAS,2019/07/26,57350
TAS,2019/07/27,18403
TAS,2019/07/28,86935
TAS,2019/07/29,99113
TAS,2019/07/30,86805
TAS,2019/07/31,26399
TAS,2019/08/01,65464
TAS,2019/08/02,2162
TAS,2019/08/03,20901
TAS,2019/08/04,78413
TAS,2019/08/05,40934
TAS,2019/08/06,52741
TAS,2019/08/07,66641
TAS,2019/08/08,66085
TAS,2019/08/09,76692
TAS,2019/08/10,49147
TAS,2019/08/11,99302
TAS,2019/08/12,32816
TAS,2019/08/13,94165
TAS,2019/08/14,51220
TAS,2019/08/15,44075
TAS,2019/08/16,89314
TAS,2019/08/17,52025
TAS,2019/08/18,16191
TAS,2019/08/19,18262
TAS,2019/08/20,65502
TAS,2019/08/21,21143
TAS,2019/08/22,31778
TAS,2019/08/23,58699
TAS,2019/08/24,30071
TAS,2019/08/25,14118
TAS,2019/08/26,55388
TAS,2019/08/27,60695
TAS,2019/08/28,36354
TAS,2019/08/29,32485
TAS,2019/08/30,76691
TAS,2019/08/31,24792
TAS,2019/09/01,50102
TAS,2019/09/02,73318
TAS,2019/09/03,2683
TAS,2019/09/04,18228
TAS,2019/09/05,55881
TAS,2019/09/06,56903
TAS,2019/09/07,73140
TAS,2019/09/08,5989
TAS,2019/09/09,94602
TAS,2019/09/10,89537
TAS,2019/09/11,48172
TAS,2019/09/12,85664
TAS,2019/09/13,47983
TAS,2019/09/14,72653
TAS,2019/09/15,70146
TAS,2019/09/16,7127
TAS,2019/09/17,40817
TAS,2019/09/18,27648
TAS,2019/09/19,53121
TAS,2019/09/20,99142
TAS,2019/09/21,37276
TAS,2019/09/22,32257
TAS,2019/09/23,75758
TAS,2019/09/24,62237
TAS,2019/09/25,90231
TAS,2019/09/26,99161
TAS,2019/09/27,32749
TAS,2019/09/28,77073
TAS,2019/09/29,21147
TAS,2019/09/30,71123
TAS,2019/10/01,31436
TAS,2019/10/02,83146
TAS,2019/10/03,31158
TAS,2019/10/04,61457
TAS,2019/10/05,40072
TAS,2019/10/06,41975
TAS,2019/10/07,76734
TAS,2019/10/08,71816
TAS,2019/10/09,91796
TAS,2019/10/10,26144
TAS,2019/10/11,87339
TAS,2019/10/12,74194
TAS,2019/10/13,36291
TAS,2019/10/14,50226
TAS,2019/10/15,20866
TAS,2019/10/16,49925
TAS,2019/10/17,21292
TAS,2019/10/18,98498
TAS,2019/10/19,35481
TAS,2019/10/20,76657
TAS,2019/10/21,29789
TAS,2019/10/22,14059
TAS,2019/10/23,54428
TAS,2019/10/24,18978
TAS,2019/10/25,98016
TAS,2019/10/26,28667
TAS,2019/10/27,49973
TAS,2019/10/28,72266
TAS,2019/10/29,59580
TAS,2019/10/30,95203
TAS,2019/10/31,98052
TAS,2019/11/01,28313
TAS,2019/11/02,11856
TAS,2019/11/03,7270
TAS,2019/11/04,40896
TAS,2019/11/05,85595
TAS,2019/11/06,35517
TAS,2019/11/07,54247
TAS,2019/11/08,19767
TAS,2019/11/09,39756
TAS,2019/11/10,17437
TAS,2019/11/11,37451
TAS,2019/11/12,29929
TAS,2019/11/13,7481
TAS,2019/11/14,50663
TAS,2019/11/15,57566
TAS,2019/11/16,72769
