state,date,value
VIC,2019/06/01,24434
VIC,2019/06/02,38794
VIC,2019/06/03,62872
VIC,2019/06/04,45359
VIC,2019/06/05,59871
VIC,2019/06/06,75854
VIC,2019/06/07,50748
VIC,2019/06/08,88031
VIC,2019/06/09,76082
VIC,2019/06/10,76463
VIC,2019/06/11,90290
VIC,2019/06/12,95627
VIC,2019/06/13,21416
VIC,2019/06/14,88067
VIC,2019/06/15,4597
VIC,2019/06/16,81899
VIC,2019/06/17,22786
VIC,2019/06/18,3018
VIC,2019/06/19,37398
VIC,2019/06/20,62272
VIC,2019/06/21,75773
VIC,2019/06/22,3326
VIC,2019/06/23,41129
VIC,2019/06/24,94417
VIC,2019/06/25,47266
VIC,2019/06/26,61303
VIC,2019/06/27,23390
VIC,2019/06/28,17838
VIC,2019/06/29,4136
VIC,2019/06/30,71954
