state,date,value
VIC,2019/01/01,74020
VIC,2019/01/02,35031
VIC,2019/01/03,74875
VIC,2019/01/04,14764
VIC,2019/01/05,36607
VIC,2019/01/06,38847
VIC,2019/01/07,49080
VIC,2019/01/08,28224
VIC,2019/01/09,47557
VIC,2019/01/10,54527
VIC,2019/01/11,95622
VIC,2019/01/12,78164
VIC,2019/01/13,30902
VIC,2019/01/14,97805
VIC,2019/01/15,59178
VIC,2019/01/16,83133
VIC,2019/01/17,56026
VIC,2019/01/18,29586
VIC,2019/01/19,60033
VIC,2019/01/20,85749
VIC,2019/01/21,42427
VIC,2019/01/22,62533
VIC,2019/01/23,9740
VIC,2019/01/24,69917
VIC,2019/01/25,50800
VIC,2019/01/26,1562
VIC,2019/01/27,47426
VIC,2019/01/28,85129
VIC,2019/01/29,88860
VIC,2019/01/30,39994
VIC,2019/01/31,84956
VIC,2019/02/01,98706
VIC,2019/02/02,89335
VIC,2019/02/03,29458
VIC,2019/02/04,47350
VIC,2019/02/05,20037
VIC,2019/02/06,1987
VIC,2019/02/07,51142
VIC,2019/02/08,16011
VIC,2019/02/09,95042
VIC,2019/02/10,84245
VIC,2019/02/11,78114
VIC,2019/02/12,33543
VIC,2019/02/13,95928
VIC,2019/02/14,28000
VIC,2019/02/15,80725
VIC,2019/02/16,32547
VIC,2019/02/17,50000
VIC,2019/02/18,4671
VIC,2019/02/19,3055
VIC,2019/02/20,17280
VIC,2019/02/21,37736
VIC,2019/02/22,87558
VIC,2019/02/23,9690
VIC,2019/02/24,30197
VIC,2019/02/25,77521
VIC,2019/02/26,46117
VIC,2019/02/27,26485
VIC,2019/02/28,79428
VIC,2019/03/01,86354
VIC,2019/03/02,79144
VIC,2019/03/03,5760
VIC,2019/03/04,69610
VIC,2019/03/05,51642
VIC,2019/03/06,41145
VIC,2019/03/07,17533
VIC,2019/03/08,35302
VIC,2019/03/09,71400
VIC,2019/03/10,77581
VIC,2019/03/11,55747
VIC,2019/03/12,13884
VIC,2019/03/13,99343
VIC,2019/03/14,94118
VIC,2019/03/15,53655
VIC,2019/03/16,34207
VIC,2019/03/17,60460
VIC,2019/03/18,77026
VIC,2019/03/19,81948
VIC,2019/03/20,83803
VIC,2019/03/21,94248
VIC,2019/03/22,96316
VIC,2019/03/23,45139
VIC,2019/03/24,23890
VIC,2019/03/25,28516
VIC,2019/03/26,74120
VIC,2019/03/27,27305
VIC,2019/03/28,12233
VIC,2019/03/29,14153
VIC,2019/03/30,10893
VIC,2019/03/31,16815
VIC,2019/04/01,13989
VIC,2019/04/02,76169
VIC,2019/04/03,98548
VIC,2019/04/04,16611
VIC,2019/04/05,10991
VIC,2019/04/06,74718
VIC,2019/04/07,26945
VIC,2019/04/08,99509
VIC,2019/04/09,76382
VIC,2019/04/10,67434
VIC,2019/04/11,18878
VIC,2019/04/12,67139
VIC,2019/04/13,75498
VIC,2019/04/14,79624
VIC,2019/04/15,52269
VIC,2019/04/16,14275
VIC,2019/04/17,65641
VIC,2019/04/18,97953
VIC,2019/04/19,57301
VIC,2019/04/20,89467
VIC,2019/04/21,4004
VIC,2019/04/22,45830
VIC,2019/04/23,30617
VIC,2019/04/24,37538
VIC,2019/04/25,72146
VIC,2019/04/26,50986
VIC,2019/04/27,75760
VIC,2019/04/28,24896
VIC,2019/04/29,20860
VIC,2019/04/30,69782
VIC,2019/05/01,26349
VIC,2019/05/02,11792
VIC,2019/05/03,14082
VIC,2019/05/04,36135
VIC,2019/05/05,89438
VIC,2019/05/06,28546
