state,date,value
WA,2019/05/01,53058
WA,2019/05/02,87477
WA,2019/05/03,36907
WA,2019/05/04,84272
WA,2019/05/05,23819
WA,2019/05/06,14117
WA,2019/05/07,84484
WA,2019/05/08,99767
WA,2019/05/09,65113
WA,2019/05/10,47289
WA,2019/05/11,2148
WA,2019/05/12,91626
WA,2019/05/13,43003
WA,2019/05/14,55939
WA,2019/05/15,1186
WA,2019/05/16,88643
WA,2019/05/17,65501
WA,2019/05/18,37243
WA,2019/05/19,70150
WA,2019/05/20,66607
WA,2019/05/21,88188
WA,2019/05/22,32354
WA,2019/05/23,53512
WA,2019/05/24,99239
WA,2019/05/25,19127
WA,2019/05/26,41404
WA,2019/05/27,85933
WA,2019/05/28,10877
WA,2019/05/29,38532
WA,2019/05/30,37870
WA,2019/05/31,72792
