state,date,value
WA,2019/01/01,68796
WA,2019/01/02,15590
WA,2019/01/03,61352
WA,2019/01/04,52368
WA,2019/01/05,64028
WA,2019/01/06,62572
WA,2019/01/07,89828
WA,2019/01/08,79746
WA,2019/01/09,13397
WA,2019/01/10,93797
WA,2019/01/11,68500
WA,2019/01/12,8752
WA,2019/01/13,50055
WA,2019/01/14,70773
WA,2019/01/15,71898
WA,2019/01/16,68888
WA,2019/01/17,57920
WA,2019/01/18,16740
WA,2019/01/19,24303
WA,2019/01/20,85511
WA,2019/01/21,62041
WA,2019/01/22,26832
WA,2019/01/23,67077
WA,2019/01/24,15836
WA,2019/01/25,70413
WA,2019/01/26,61258
WA,2019/01/27,82701
WA,2019/01/28,7977
WA,2019/01/29,52514
WA,2019/01/30,5570
WA,2019/01/31,3029
WA,2019/02/01,57258
WA,2019/02/02,80743
WA,2019/02/03,95884
WA,2019/02/04,99397
WA,2019/02/05,35161
WA,2019/02/06,87013
WA,2019/02/07,90595
WA,2019/02/08,75979
WA,2019/02/09,65088
WA,2019/02/10,29735
WA,2019/02/11,86374
WA,2019/02/12,96926
WA,2019/02/13,34455
WA,2019/02/14,27423
WA,2019/02/15,83766
WA,2019/02/16,10716
WA,2019/02/17,45031
WA,2019/02/18,64342
WA,2019/02/19,38980
WA,2019/02/20,35817
WA,2019/02/21,36743
WA,2019/02/22,30540
WA,2019/02/23,90679
WA,2019/02/24,1350
WA,2019/02/25,24324
WA,2019/02/26,45292
WA,2019/02/27,58909
WA,2019/02/28,68988
WA,2019/03/01,26982
WA,2019/03/02,77918
WA,2019/03/03,97953
WA,2019/03/04,26162
WA,2019/03/05,58305
WA,2019/03/06,32744
WA,2019/03/07,92821
WA,2019/03/08,79613
WA,2019/03/09,10053
WA,2019/03/10,92073
WA,2019/03/11,20057
WA,2019/03/12,79344
WA,2019/03/13,43078
WA,2019/03/14,96939
WA,2019/03/15,97824
WA,2019/03/16,86517
WA,2019/03/17,49311
WA,2019/03/18,91331
WA,2019/03/19,35589
WA,2019/03/20,40162
WA,2019/03/21,65463
WA,2019/03/22,86408
WA,2019/03/23,10147
WA,2019/03/24,43487
WA,2019/03/25,44725
WA,2019/03/26,74208
WA,2019/03/27,75856
WA,2019/03/28,7454
WA,2019/03/29,83051
WA,2019/03/30,27163
WA,2019/03/31,31730
WA,2019/04/01,22535
WA,2019/04/02,60723
WA,2019/04/03,78482
WA,2019/04/04,40505
WA,2019/04/05,40723
WA,2019/04/06,40187
WA,2019/04/07,84311
WA,2019/04/08,15507
WA,2019/04/09,78479
WA,2019/04/10,81491
WA,2019/04/11,2161
WA,2019/04/12,58379
WA,2019/04/13,79615
WA,2019/04/14,7576
WA,2019/04/15,94123
WA,2019/04/16,59236
WA,2019/04/17,71569
WA,2019/04/18,61579
WA,2019/04/19,14847
WA,2019/04/20,56297
WA,2019/04/21,52178
WA,2019/04/22,59756
WA,2019/04/23,35650
WA,2019/04/24,44414
WA,2019/04/25,38822
WA,2019/04/26,65911
WA,2019/04/27,39597
WA,2019/04/28,25517
WA,2019/04/29,13315
WA,2019/04/30,15064
WA,2019/05/01,67817
WA,2019/05/02,37707
WA,2019/05/03,2619
WA,2019/05/04,26628
WA,2019/05/05,63417
WA,2019/05/06,2666
WA,2019/05/07,90607
WA,2019/05/08,41252
WA,2019/05/09,92421
WA,2019/05/10,85853
WA,2019/05/11,85196
WA,2019/05/12,47054
WA,2019/05/13,49647
WA,2019/05/14,12604
WA,2019/05/15,37088
WA,2019/05/16,48736
WA,2019/05/17,26158
WA,2019/05/18,26312
WA,2019/05/19,80666
WA,2019/05/20,17745
WA,2019/05/21,49938
WA,2019/05/22,76157
WA,2019/05/23,97322
WA,2019/05/24,96444
WA,2019/05/25,57868
WA,2019/05/26,64310
WA,2019/05/27,40355
WA,2019/05/28,16665
WA,2019/05/29,85158
WA,2019/05/30,51816
WA,2019/05/31,50211
WA,2019/06/01,82155
WA,2019/06/02,96407
WA,2019/06/03,87651
WA,2019/06/04,79414
WA,2019/06/05,28832
WA,2019/06/06,28064
WA,2019/06/07,92272
WA,2019/06/08,91568
WA,2019/06/09,5973
WA,2019/06/10,96236
WA,2019/06/11,5931
WA,2019/06/12,83662
WA,2019/06/13,29879
WA,2019/06/14,66360
WA,2019/06/15,90759
WA,2019/06/16,42337
WA,2019/06/17,88225
WA,2019/06/18,56993
WA,2019/06/19,91421
WA,2019/06/20,22026
WA,2019/06/21,43856
WA,2019/06/22,49203
WA,2019/06/23,92258
WA,2019/06/24,71370
WA,2019/06/25,61621
WA,2019/06/26,50050
WA,2019/06/27,6062
WA,2019/06/28,91368
WA,2019/06/29,60969
WA,2019/06/30,62760
WA,2019/07/01,17871
WA,2019/07/02,58243
